Line 1,Line 2,Converged,Bus Voltages,Line Loadings
"(0, 1)","(5, 10)",True,"[1.0276593166370518, 1.0439828406425447, 1.0223395144457954, 0.9914477022409839, 0.9907445181326553, 0.9926306106525883, 0.9825954487641251, 0.9821347285354428, 1.0294331765816607, 1.0154761544566173, 1.0134482396633415, 0.998160909164389, 1.0098369302807133, 1.0023670248207277, 1.0100253847274674, 1.0281231511269238, 1.0288433898365048, 1.024995548344594, 1.0484896702572057, 0.9901281082610566, 1.0292239488093655, 1.0484853128409988, 1.0434295599611327, 1.0339931612573605, 1.0534292322495238, 1.048559229247535, 1.0335595214934918, 1.0483025202711473, 1.0486940282526853, 1.0499, 0.982, 0.9841000000000001, 0.9972, 1.0123, 1.0494, 1.0636000000000003, 1.0275, 1.0265000000000002, 1.03]","[0.0, 10.425824995353189, 94.06183038117172, 45.02750005134703, 50.741822495584465, 13.537168924308906, 49.33207051769103, 117.68846014672619, 16.03377171146875, 53.51376004971997, 56.46002524636358, 0.0, 29.528282832702974, 29.269346379637174, 23.053432696884354, 9.606046155663734, 102.32764295203845, 105.79349953638308, 12.798557421060123, 52.92495681711462, 36.73088206461794, 73.98025004265911, 53.57674876522679, 18.17420747629356, 36.54863514508598, 7.325283098437605, 66.08669829246267, 12.066096254115164, 56.63100973281138, 59.55826759634426, 15.128458600469315, 47.16638879237337, 23.984880709736167, 32.13755923356764, 55.77487935191389]"
"(0, 1)","(6, 7)",True,"[1.0276593166370518, 1.0460215524655778, 1.0264040136580255, 0.9988101342734966, 0.9985613742116413, 1.0020538857986498, 0.9931524233954648, 0.9864078171189834, 1.031200327606656, 1.01364936227199, 1.0084721536704075, 0.9961123252832473, 1.010672469229985, 1.0078782558559105, 1.0131573183312914, 1.0303217022138205, 1.0314522435158218, 1.0282181974220734, 1.0492982198427476, 0.9905693324042433, 1.0307716172674843, 1.049314060869902, 1.0442873537427717, 1.035997085715905, 1.0545125559012594, 1.049871157094005, 1.035439196440118, 1.048981484131226, 1.0491598228424721, 1.0499, 0.982, 0.9841, 0.9972, 1.0123000000000002, 1.0494, 1.0636000000000003, 1.0275, 1.0265000000000002, 1.03]","[0.0, 10.425824995353155, 91.27371407861209, 43.254518585118674, 40.87795052438798, 6.278787497947433, 11.269433161345795, 56.1567346825757, 67.2209082456858, 82.53015020389971, 27.793872050608005, 76.58526002765343, 0.0, 28.747719692540386, 22.779257410425398, 62.28341492807174, 47.23532054654428, 45.3025200513046, 7.110555453162963, 59.01836563738419, 28.25951762556564, 73.66675192906472, 53.54920416033051, 17.663412336101104, 29.629086329220993, 6.654184886974174, 65.90604211059194, 12.022226613595286, 56.51725915948151, 59.49310693396366, 16.58381298163777, 48.473647939830286, 24.047961793928135, 32.19969169211555, 55.771952436131855]"
"(0, 1)","(7, 8)",True,"[nan, 1.0449707063009412, 1.024080462410707, 0.9939892649618499, 0.9915910020446846, 0.9947308768753974, 0.9789355557848634, 0.9755001847640656, nan, 1.0091037492747137, 1.0029691257969904, 0.9910141530812036, 1.0062426812960923, 1.0038114009605854, 1.0108542956892372, 1.0288381730655523, 1.0298441204841482, 1.0263337619669455, 1.0487526316050166, 0.9902716066012949, 1.0297272998583737, 1.0487548499147987, 1.0437085434282696, 1.0346448865074584, 1.0536938624242735, 1.0489197065279987, 1.0341707581131312, 1.0484890804127773, 1.048822015584138, 1.0498999999999998, 0.982, 0.9841, 0.9971999999999998, 1.0123000000000002, 1.0494000000000003, 1.0635999999999999, 1.0275, 1.0265000000000002, nan]","[nan, nan, 91.73172532575224, 43.01301875478098, 42.09705753297466, 6.520003078394594, 15.350826712665125, 53.39525236281404, 35.92296164905818, 40.020551011469394, 50.68426214658308, 81.84305537109186, 22.758424043696404, nan, nan, 66.36504902755, 44.443457245145844, 42.19366261705387, 8.441990775495107, 60.15218006828687, 27.799117380215616, 73.87636518514012, 53.5664318128947, 18.007847159268067, 29.407604483445187, 6.979996830023929, 66.02744434344085, 12.051823058810774, 56.593453120768324, 59.53685345096215, 16.682958646516145, 48.69058934366697, 24.002015880970546, 32.15447975604299, 55.77397366746156]"
"(0, 1)","(8, 38)",True,"[nan, 1.0469811567257943, 1.028484796316884, 1.003041787512816, 1.0046232524275602, 1.0070742737331213, 0.996076945345301, 0.9949477077946367, 1.0254486602641548, 1.0170015602985827, 1.0123642559430852, 0.9998713972958218, 1.014111114938376, 1.0113699544391872, 1.0151285790247029, 1.0316074713868972, 1.0328677948196618, 1.029894620107379, 1.0497710742776265, 0.9908273650802781, 1.0316766835611588, 1.049798699531659, 1.0447889790502376, 1.0371690297495169, 1.0552117095895819, 1.0506869586021912, 1.0365388403950342, 1.049403677801098, 1.0494494629805307, 1.0499, 0.982, 0.9840999999999999, 0.9971999999999998, 1.0123, 1.0493999999999999, 1.0636, 1.0274999999999999, 1.0265000000000002, nan]","[nan, nan, 90.69742422674852, 43.26940001824961, 39.11876648567982, 5.55974086412386, 14.511764347062128, 52.423912474643906, 35.36752546955819, 38.017228260673654, 48.76687799656742, 80.00935449564622, 21.715279080361146, 11.507132630887837, nan, 64.52485979444604, 44.081509654999785, 41.82749234133703, 5.958009318096132, 58.824109913245856, 27.796726688198998, 73.49159483297836, 53.53883816587539, 17.36572627772245, 29.141161827629798, 6.37832657020362, 65.8025091883175, 11.99659481130977, 56.45311504586211, 59.455939425360505, 16.65240710383023, 48.4433456147396, 24.088184089898913, 32.239092803755945, 55.77064584357778]"
"(0, 1)","(9, 10)",True,"[1.0276593166370516, 1.0446710200726117, 1.0236880462375373, 0.9936826635790059, 0.9913742801492359, 0.9929241938112356, 0.9829787126556622, 0.9825809997965876, 1.0296177415890775, 1.0186657044584166, 0.9915390872107027, 0.9862855531366066, 1.011781724255479, 1.0051336596275084, 1.0115198714782196, 1.0290834741752501, 1.029861862854875, 1.0261626105051198, 1.048842844823933, 0.9903208358517328, 1.0298999808233371, 1.0488473176134305, 1.0438042518801378, 1.0348684724162829, 1.053799974782701, 1.0490573940421573, 1.0342879339848456, 1.0485603383522857, 1.048870901211156, 1.0499, 0.982, 0.9840999999999999, 0.9972000000000001, 1.0123000000000002, 1.0494, 1.0636000000000003, 1.0275, 1.0265000000000002, 1.03]","[0.0, 10.425824995353231, 93.10329260056986, 44.39420267522266, 47.40512386442086, 10.928950313373868, 28.40442875849544, 96.38515604025324, 24.8664166717583, 52.22847948088314, 57.68811759458819, 27.44799774658035, 30.824634587997636, 29.214337977104517, 23.023726688204956, 0.0, 107.98111204149212, 84.70959373613904, 9.985740936302037, 54.76478422865843, 33.74034162090858, 73.84115269413233, 53.563194060478345, 17.950826124953778, 34.15685664508649, 7.0070155366293765, 66.00722714812353, 12.046927652094794, 56.580693375390986, 59.52955629258815, 15.621917691664233, 47.6056971137704, 24.008600393348544, 32.16097305372934, 55.77364803179976]"
"(0, 1)","(9, 12)",True,"[1.0276593166370516, 1.0455007726140813, 1.0251098934396998, 0.9962412915922298, 0.9986991554060383, 1.0014991196125198, 0.9907123607578446, 0.9899155009948023, 1.0326508171937554, 1.016329991942662, 1.0090123440114138, 0.9898775642402621, 0.9993505513944555, 1.0018116151036551, 1.009970088809497, 1.028559482672724, 1.029966629053582, 1.0268200597815709, 1.048650138710247, 0.9902156761996812, 1.029531112695145, 1.0486497947904536, 1.043599806433316, 1.034390867005856, 1.0538433232347488, 1.0489620795989383, 1.034227161873735, 1.0485110099310815, 1.048837060060139, 1.0499000000000003, 0.982, 0.9840999999999999, 0.9972000000000001, 1.0123000000000002, 1.0494000000000003, 1.0636000000000003, 1.0275000000000003, 1.0265000000000002, 1.0299999999999998]","[0.0, 10.425824995353151, 90.61075582637388, 42.14083652540269, 37.96073601005209, 4.771256304286364, 43.474932670696575, 23.525504706307398, 57.05862577459753, 47.419949576894794, 61.78127593142767, 116.24046556620893, 35.046745478516314, 28.32827495505075, 22.753277703595842, 108.52298054636704, 0.0, 14.873664521940194, 10.170987803484955, 64.14878057415562, 23.891739633464574, 73.91663561796872, 53.570297308773384, 18.072661967421556, 26.09509962558616, 7.079598280090178, 66.05048222386759, 12.057385593312443, 56.60802701916412, 59.5451744643969, 17.425973552962905, 49.42699053503465, 24.00403992241026, 32.15647626882704, 55.77387225719897]"
"(0, 1)","(12, 13)",True,"[1.0276593166370516, 1.045672776196136, 1.0253732426429392, 0.9963606988325899, 0.9972419702993561, 0.9998582034373213, 0.9891874617112842, 0.9884750642976471, 1.0320551846202766, 1.0128754368249342, 1.0067810815747895, 0.9952443905341796, 1.0108201336143328, 1.0037208960681339, 1.0108519170145671, 1.0290343186888613, 1.030346368045048, 1.0271627505541423, 1.0488247671995012, 0.9903109709495099, 1.0298653776818592, 1.0488287882455818, 1.0437850731023568, 1.0348236684110939, 1.0538869926410503, 1.0490977749827708, 1.0344664016470764, 1.0485812368205665, 1.0488852383460523, 1.0499000000000003, 0.982, 0.9840999999999999, 0.9972000000000001, 1.0123, 1.0494, 1.0636000000000003, 1.0275, 1.0265000000000002, 1.03]","[0.0, 10.425824995353286, 90.15147329009969, 41.70570434540955, 36.651434477786765, 5.3842542865541505, 56.9317052544588, 14.778216206265412, 63.122392893586856, 46.67026464138272, 62.6696539820192, 132.79672677802213, 35.94482614142347, 28.499541217862106, 22.676999629255455, 102.84752721700147, 9.69757670752459, 0.0, 10.480182226470989, 65.42384895211183, 21.97970007767317, 73.84819135266135, 53.5638305065311, 17.96225033419943, 24.659968451132798, 7.058608932267541, 66.01127388149968, 12.047908583026217, 56.583245159625704, 59.53101653544276, 17.746643105429246, 49.72870848306312, 24.010535633848722, 32.162880577065934, 55.77355464790602]"
"(0, 1)","(13, 14)",True,"[1.0276593166370516, 1.0457497824805506, 1.0257665018576656, 0.9970119842467666, 0.9989334005380341, 1.0014416579059746, 0.990785840637008, 0.9900211271684437, 1.0326944937542417, 1.0116972122387837, 1.0069189023656901, 0.9939229925950769, 1.0079610802755936, 1.0032101012381027, 1.0140892108866368, 1.0306872165250263, 1.0315042003778263, 1.0280054128147467, 1.0494326418350917, 0.9906426855898965, 1.031028910338082, 1.0494518349683455, 1.0444299567543651, 1.0363302423694625, 1.0543530392802818, 1.049834323811451, 1.0354447792862198, 1.048962422000814, 1.0491467455220425, 1.0499000000000003, 0.982, 0.9840999999999999, 0.9971999999999998, 1.0123, 1.0494000000000003, 1.0636, 1.0275000000000003, 1.0265000000000002, 1.03]","[0.0, 10.425824995353238, 91.48923396401432, 43.260469037293255, 41.858827975442715, 6.919866108661549, 13.738505735299869, 52.40017134298537, 43.541375450425164, 49.2743133890424, 59.9188004270768, 79.27952627940269, 33.16042232456805, 28.315770645939427, 22.758982861423416, 64.09549362278513, 45.858398265221055, 43.38496165028748, 0.0, 58.29461554593418, 28.435182997418394, 73.61634134409204, 53.545825910016845, 17.578706352143307, 29.95274331387438, 6.602562370346625, 65.87645049137755, 12.014938256989199, 56.498845368613935, 59.482470408894685, 16.51152155309171, 48.406354769848534, 24.04616374467911, 32.197926554499965, 55.772020718259604]"
"(0, 1)","(14, 15)",True,"[1.0276593166370518, 1.040294060482428, 1.0153606854080184, 0.975182528112767, 0.9830566054415459, 0.9864179993327266, 0.9760893701326407, 0.9755799526376753, 1.0267220927021783, 0.9938683677908501, 0.9899459577028101, 0.9739195877732595, 0.9859595813714098, 0.9712833414891427, 0.93043344421216, 1.041340244508163, 1.0345430740174186, 1.0253443756808445, 1.0533502535251873, 0.9927804174147113, 1.0385265006128828, 1.0534664096082877, 1.0485852699753484, 1.0460401330297617, 1.053528293301248, 1.0513472845229452, 1.0379279164035684, 1.049745404554572, 1.0496838996189453, 1.0499, 0.982, 0.9841, 0.9972, 1.0123, 1.0494000000000003, 1.0636, 1.0275000000000005, 1.0265000000000002, 1.03]","[0.0, 10.425824995353143, 105.10771552907951, 54.60787191501287, 101.41094154130752, 56.06116375584973, 11.383765987061881, 8.207587257084201, 39.424762394492205, 50.58543893120259, 60.04551058958258, 63.65905912141676, 32.98121243021535, 30.09094649622482, 23.517666424864576, 52.81072321100666, 63.1473814491064, 61.15080499589145, 63.53591550727257, 0.0, 79.6854985254727, 72.36627155065463, 53.59803762809998, 15.142308441539468, 72.17090008789141, 11.043748971992647, 65.07031657892398, 11.803164813292847, 56.285353376160316, 59.197226839520745, 7.610244468631253, 38.70223038780824, 24.121297138625415, 32.27141266071099, 55.76987659476838]"
"(0, 1)","(15, 16)",True,"[1.0276593166370518, 1.0475358457371826, 1.0283193408983573, 0.9994461044136872, 1.0004735907880982, 1.0028711473832967, 0.9921885840760459, 0.9914081280953791, 1.0332680110911514, 1.0135867587573137, 1.0086217960670334, 0.9960421183061824, 1.0103978621596184, 1.006876816455153, 1.0097471024404443, 1.0270082506428018, 1.0335848205806182, 1.0303083710005505, 1.0480796441811797, 0.9899043551626406, 1.028439074041191, 1.0480650204502697, 1.04299453822016, 1.0329769552189818, 1.054239741380548, 1.050138049775579, 1.0364032949190056, 1.0491196072330167, 1.049254580331537, 1.0499000000000003, 0.982, 0.9841000000000001, 0.9971999999999999, 1.0123, 1.0494000000000006, 1.0635999999999999, 1.0275000000000003, 1.0265000000000002, 1.03]","[0.0, 10.425824995353212, 84.93987275586669, 36.84738328587592, 29.54949432124834, 23.504706135967474, 20.370057599429423, 78.21125327780284, 46.53398284692805, 48.80046126786027, 60.26014822006947, 87.45250887700345, 33.54202161676143, 28.152273277219575, 22.835305228276212, 69.97564855741092, 39.49738891168138, 36.473769865857086, 28.539953897292246, 84.29947133914582, 0.0, 74.1459164374099, 53.595446112947585, 18.434042750048576, 9.960560685024776, 8.465858923173698, 66.18004837334853, 12.088362751220728, 56.690647946078, 59.59208462635319, 21.53973937965732, 53.31811442128094, 24.061036856865073, 32.212517506294134, 55.771481645008514]"
